flokkur,mean,q5,q95,true
Lýðræðisflokkurinn,0.021494999999999997,0.01,0.037,0.014
Sjálfstæðisflokkurinn,0.136635,0.111,0.164,0.123
Samfylkingin,0.22162325,0.188,0.255,0.216
Framsóknarflokkurinn,0.05800175,0.041,0.076,0.058
Vinstri græn,0.0311785,0.018,0.045,0.026
Píratar,0.055066000000000004,0.038,0.073,0.057
Viðreisn,0.1690565,0.139,0.201,0.171
Flokkur fólksins,0.1123885,0.087,0.13904999999999976,0.115
Miðflokkurinn,0.151298,0.122,0.181,0.151
Sósíalistaflokkurinn,0.0432575,0.028950000000000017,0.06,0.067
