ar,tegund3,samtals
2004,Dagvinnulaun,21928594761.364628
2004,Launatengd gjöld,6419414547.240331
2004,Vaktaálagsgreiðslur,3928309463.01608
2004,Yfirvinna,6812846750.586702
2005,Dagvinnulaun,22304878563.8796
2005,Launatengd gjöld,6617214898.32776
2005,Vaktaálagsgreiðslur,4111967310.2424755
2005,Yfirvinna,6770555738.001673
2006,Dagvinnulaun,23420075283.139767
2006,Launatengd gjöld,7352758405.646776
2006,Vaktaálagsgreiðslur,4545335113.376051
2006,Yfirvinna,7276154415.578694
2007,Dagvinnulaun,24218971607.15624
2007,Launatengd gjöld,7508551477.3698015
2007,Vaktaálagsgreiðslur,4734920788.16036
2007,Yfirvinna,7575383801.910829
2008,Dagvinnulaun,25026154923.379383
2008,Launatengd gjöld,7724363686.716259
2008,Vaktaálagsgreiðslur,4881049598.0162945
2008,Yfirvinna,7618123106.942968
2009,Dagvinnulaun,22391303860.902035
2009,Launatengd gjöld,6898843075.686977
2009,Vaktaálagsgreiðslur,4426327527.389486
2009,Yfirvinna,5350859763.0227
2010,Dagvinnulaun,20144785971.63677
2010,Launatengd gjöld,6846256605.521299
2010,Vaktaálagsgreiðslur,3910425784.5291476
2010,Yfirvinna,4067147521.860986
2011,Dagvinnulaun,20710239140.093563
2011,Launatengd gjöld,7150679772.67474
2011,Vaktaálagsgreiðslur,4013257404.072648
2011,Yfirvinna,4316202517.226197
2012,Dagvinnulaun,20391783021.518986
2012,Launatengd gjöld,6958853311.392405
2012,Vaktaálagsgreiðslur,3932787132.911392
2012,Yfirvinna,5167069022.78481
2013,Dagvinnulaun,21175469497.79321
2013,Launatengd gjöld,7403167597.6196375
2013,Vaktaálagsgreiðslur,4134941746.417059
2013,Yfirvinna,5907882937.887428
2014,Dagvinnulaun,21948049845.972588
2014,Launatengd gjöld,8044079879.682616
2014,Vaktaálagsgreiðslur,4359709195.792258
2014,Yfirvinna,6338459597.7638855
2015,Dagvinnulaun,24590266653.589317
2015,Launatengd gjöld,8462331918.363939
2015,Vaktaálagsgreiðslur,4886144230.383973
2015,Yfirvinna,6707303612.687812
2016,Dagvinnulaun,27375386524.678963
2016,Launatengd gjöld,9292828582.091991
2016,Vaktaálagsgreiðslur,4031299404.272706
2016,Yfirvinna,8909247354.120943
2017,Dagvinnulaun,29531806802.932415
2017,Launatengd gjöld,10173923142.268042
2017,Vaktaálagsgreiðslur,4570212910.057274
2017,Yfirvinna,10231669486.231386
2018,Dagvinnulaun,31516705033.43778
2018,Launatengd gjöld,10830932407.341091
2018,Vaktaálagsgreiðslur,4516304353.961504
2018,Yfirvinna,10821762226.230976
2019,Dagvinnulaun,32145456331.969696
2019,Launatengd gjöld,10793692304.39394
2019,Vaktaálagsgreiðslur,4193596227.121212
2019,Yfirvinna,10210290815.454546
2020,Dagvinnulaun,35260218046.04086
2020,Launatengd gjöld,11471239848.063005
2020,Vaktaálagsgreiðslur,4955572790.953597
2020,Yfirvinna,10799135754.725414
2021,Dagvinnulaun,36950003031
2021,Launatengd gjöld,11806112358
2021,Vaktaálagsgreiðslur,6178996078
2021,Yfirvinna,10005761772
