year,new_dwellings,dwellings,country
1900,262,262,Iceland
1901,106,368,Iceland
1902,224,592,Iceland
1903,272,864,Iceland
1904,262,1126,Iceland
1905,320,1446,Iceland
1906,440,1886,Iceland
1907,324,2210,Iceland
1908,272,2482,Iceland
1909,162,2644,Iceland
1910,292,2936,Iceland
1911,112,3048,Iceland
1912,272,3320,Iceland
1913,192,3512,Iceland
1914,236,3748,Iceland
1915,214,3962,Iceland
1916,158,4120,Iceland
1917,96,4216,Iceland
1918,138,4354,Iceland
1919,288,4642,Iceland
1920,666,5308,Iceland
1921,390,5698,Iceland
1922,482,6180,Iceland
1923,490,6670,Iceland
1924,474,7144,Iceland
1925,662,7806,Iceland
1926,940,8746,Iceland
1927,780,9526,Iceland
1928,992,10518,Iceland
1929,874,11392,Iceland
1930,1542,12934,Iceland
1931,800,13734,Iceland
1932,770,14504,Iceland
1933,704,15208,Iceland
1934,1040,16248,Iceland
1935,994,17242,Iceland
1936,1154,18396,Iceland
1937,994,19390,Iceland
1938,1040,20430,Iceland
1939,952,21382,Iceland
1940,898,22280,Iceland
1941,590,22870,Iceland
1942,1756,24626,Iceland
1943,1158,25784,Iceland
1944,1042,26826,Iceland
1945,1634,28460,Iceland
1946,2542,31002,Iceland
1947,3030,34032,Iceland
1948,2230,36262,Iceland
1949,1874,38136,Iceland
1950,2024,40160,Iceland
1951,1516,41676,Iceland
1952,1548,43224,Iceland
1953,2038,45262,Iceland
1954,2104,47366,Iceland
1955,2520,49886,Iceland
1956,3344,53230,Iceland
1957,3220,56450,Iceland
1958,3040,59490,Iceland
1959,2876,62366,Iceland
1960,4130,66496,Iceland
1961,3320,69816,Iceland
1962,2066,71882,Iceland
1963,3152,75034,Iceland
1964,2936,77970,Iceland
1965,3742,81712,Iceland
1966,3250,84962,Iceland
1967,4346,89308,Iceland
1968,4590,93898,Iceland
1969,3278,97176,Iceland
1970,3168,100344,Iceland
1971,3456,103800,Iceland
1972,4048,107848,Iceland
1973,5994,113842,Iceland
1974,5360,119202,Iceland
1975,3726,122928,Iceland
1976,4800,127728,Iceland
1977,3838,131566,Iceland
1978,6568,138134,Iceland
1979,5410,143544,Iceland
1980,4524,148068,Iceland
1981,3336,151404,Iceland
1982,3462,154866,Iceland
1983,3814,158680,Iceland
1984,3982,162662,Iceland
1985,2980,165642,Iceland
1986,2386,168028,Iceland
1987,2886,170914,Iceland
1988,3572,174486,Iceland
1989,4082,178568,Iceland
1990,3726,182294,Iceland
1991,3350,185644,Iceland
1992,4060,189704,Iceland
1993,3002,192706,Iceland
1994,3340,196046,Iceland
1995,2750,198796,Iceland
1996,2908,201704,Iceland
1997,2466,204170,Iceland
1998,2550,206720,Iceland
1999,2854,209574,Iceland
2000,3906,213480,Iceland
2001,3798,217278,Iceland
2002,4046,221324,Iceland
2003,4818,226142,Iceland
2004,5910,232052,Iceland
2005,5174,237226,Iceland
2006,7814,245040,Iceland
2007,6662,251702,Iceland
2008,5806,257508,Iceland
2009,1636,259144,Iceland
2010,1678,260822,Iceland
2011,976,261798,Iceland
2012,946,262744,Iceland
2013,1564,264308,Iceland
2014,2422,266730,Iceland
2015,2172,268902,Iceland
2016,3604,272506,Iceland
2017,3766,276272,Iceland
2018,4906,281178,Iceland
2019,6570,287748,Iceland
2020,6600,294348,Iceland
2021,5800,300148,Iceland
2022,5762,305910,Iceland
2023,7682,313592,Iceland
2024,5582,319174,Iceland
